POCO,CADASTRO,OPERADOR,POCO_OPERADOR,ESTADO,BACIA,BLOCO,SIG_CAMPO,CAMPO,TERRA_MAR,POCO_POS_ANP,TIPO,CATEGORIA,RECLASSIFICACAO,SITUACAO,INÍCIO,TÉRMINO,CONCLUSAO,TITULARIDADE,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,TIPO_DE_COORDENADA_DE_BASE,DIRECAO,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,REFERENCIA_DE_PROFUNDIDADE,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DATUM_VERTICAL,UNIDADE_ESTRATIGRAFICA,GEOLOGIA_GRUPO_FINAL,GEOLOGIA_FORMACAO_FINAL,GEOLOGIA_MEMBRO_FINAL,CDPE,AGP,PC,PAG,PERFIS_CONVENCIONAIS,DURANTE_PERFURACAO,PERFIS_DIGITAIS,PERFIS_PROCESSADOS,PERFIS_ESPECIAIS,AMOSTRA_LATERAL,SISMICA,TABELA_TEMPO_PROFUNDIDADE,DADOS_DIRECIONAIS,TESTE_A_CABO,TESTE_DE_FORMACAO,CANHONEIO,TESTEMUNHO,GEOQUIMICA,SIG_SONDA,NOM_SONDA,ATINGIU_PRESAL,DHA_ATUALIZACAO
1-MUS-1-SE,901200380900,,1MUS 0001  SE,SE,Sergipe,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,4/7/1993,4/15/1993,4/15/1993,Publico,"	-10:16:22,159","	-36:44:51,293","-10,2728219444","-36,7475813888",SIRGAS2000,Definitiva,Vertical,,1024,,MR,24,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,Existe,SC-93,SONDA CONVENCIONAL 93,,5/3/2026
1-MV-1-AM,140200040000,,1MV  0001  AM,AM,Solimões,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,5/7/1980,7/11/1980,7/11/1980,Publico,"	-05:12:19,699","	-66:51:41,632","-5,2054719444","-66,8615644444",SIRGAS2000,Definitiva,Vertical,,2372,,MR,115,0,0,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,SM-2                          ,,,5/3/2026
1-MV-1-SP,863000011300,,1MV  0001  SP,SP,Paraná,Brasil,,,T,N,1 ,Pioneiro,ABANDONADO POR OUTRAS RAZÕES,ABANDONADO PERMANENTEMENTE,3/2/1983,4/18/1983,4/18/1983,Publico,"	-22:23:47,653","	-52:09:36,453","-22,3965702777","-52,1601258333",SIRGAS2000,Definitiva,Vertical,,1268,,MR,379,,,,,,,,,Existe,,,,,,,,,,,,,,,,,AG-1                          ,,,5/3/2026
1-MV-2-AM,140200040800,,1MV  0002  AM,AM,Solimões,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,8/7/1980,10/10/1980,10/10/1980,Publico,"	-05:09:18,347","	-66:35:38,232","-5,1550963888","-66,5939533333",SIRGAS2000,Definitiva,Vertical,,2767,,MR,90,,,,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,,SM-2                          ,,,5/3/2026
1-MV-3-AM,140200052000,,1MV  0003  AM,AM,Solimões,Brasil,,,T,N,1 ,Pioneiro,PORTADOR DE GÁS NATURAL,ARRASADO,9/7/1984,10/30/1984,10/30/1984,Publico,"	-05:12:15,680","	-66:57:40,732","-5,2043555555","-66,9613144444",SIRGAS2000,Definitiva,Vertical,,2244,,MR,75,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,,SM-8                          ,,,5/3/2026
1-N-2-ES,342700225300,,1N   0002  ES,ES,Espírito Santo,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,DEVOLVIDO,4/27/1968,6/16/1968,6/16/1968,Publico,"	-18:55:19,938","	-39:47:08,917","-18,922205","-39,7858102777",SIRGAS2000,Definitiva,Vertical,,3227.4,,MR,8.5,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-29,SONDA CONVENCIONAL 29,,5/3/2026
1-NA-1-BA,202400071600,,1NA  0001  BA,BA,Recôncavo,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,3/7/1959,4/8/1959,4/8/1959,Publico,"	-12:32:56,218","	-38:34:39,734","-12,5489494444","-38,5777038888",SIRGAS2000,Definitiva,Vertical,,845.2,,MR,76,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,,SC-18,SONDA CONVENCIONAL 18,,5/3/2026
1-NA-1-MA,500800026000,,1NA  0001  MA,MA,Barreirinhas,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,5/8/1969,7/1/1969,7/1/1969,Publico,"	-02:42:02,639","	-43:16:59,114","-2,7007330555","-43,2830872222",SIRGAS2000,Definitiva,Vertical,,2242.6,,MR,23.29999,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,,SC-22,SONDA CONVENCIONAL 22,,5/3/2026
1-NA-2-BA,202400575100,,1NA  0002  BA,BA,Recôncavo,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ARRASADO,9/13/1995,9/17/1995,9/17/1995,Publico,"	-12:33:29,946","	-38:34:40,384","-12,5583183333","-38,5778844444",SIRGAS2000,Definitiva,Vertical,,864,,MR,75.19999,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-77,SONDA CONVENCIONAL 77,,5/3/2026
1-NAB-1-SE,901200141100,,1NAB 0001  SE,SE,Sergipe,Brasil,,,T,N,1 ,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO E GÁS NATURAL,DEVOLVIDO,12/18/1979,1/29/1980,1/29/1980,Publico,"	-11:02:04,638","	-37:07:38,779","-11,0346216666","-37,1274386111",SIRGAS2000,Definitiva,Vertical,,2334,,MR,8,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC41,SONDA CONVENCIONAL 41,,5/3/2026
1-NAB-6-SE,901200372800,,1NAB 0006  SE,SE,Sergipe,Brasil,,,T,N,1 ,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,DEVOLVIDO,9/5/1990,9/6/1990,9/6/1990,Publico,"	-11:01:56,843","	-37:07:15,650","-11,0324563888","-37,1210138888",SIRGAS2000,Definitiva,Vertical,,407,,MR,9,,,,,,,,,,,,,,,,,,,,,,,,,,SC-26,SONDA CONVENCIONAL 26,,5/3/2026
1-NAB-6A-SE,901200373100,,1NAB 0006A SE,SE,Sergipe,Brasil,NAB  ,NORTE DE AREIA BRANCA,T,N,1 ,Pioneiro,PORTADOR DE PETRÓLEO,ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO,9/18/1990,10/22/1990,10/22/1990,Publico,"	-11:01:56,639","	-37:07:15,537","-11,0323997222","-37,1209825",SIRGAS2000,Definitiva,Vertical,,2280,,MR,9,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,,SC-26,SONDA CONVENCIONAL 26,,5/3/2026
1-NAR-1-BA,202400240800,,1NAR 0001  BA,BA,Recôncavo,Brasil,,,T,N,1 ,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,10/26/1969,12/17/1969,12/17/1969,Publico,"	-12:11:25,145","	-38:24:37,681","-12,1903180555","-38,4104669444",SIRGAS2000,Definitiva,Vertical,,3195,,MR,139.8,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC-60,SONDA CONVENCIONAL 60,,5/3/2026
1-NB-2-BA,202650318000,,1NB  0002  BA,BA,Almada,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,ABANDONADO PERMANENTEMENTE,7/18/1978,8/12/1978,8/12/1978,Publico,"	-14:37:42,116","	-39:04:18,724","-14,6283655555","-39,0718677777",SIRGAS2000,Definitiva,Vertical,,1245.5,,MR,7.59999,,,,,,,,,,Existe,,,,Existe,,,,,,,,,,,,SC-27,SONDA CONVENCIONAL 27,,5/3/2026
1-NC-1-RN,721000161600,,1NC  0001  RN,RN,Potiguar,Brasil,,,T,N,1 ,Pioneiro,SECO SEM INDÍCIOS,CEDIDO PARA A CAPTAÇÃO DE ÁGUA,12/5/1983,12/9/1983,12/9/1983,Publico,"	-05:26:20,568","	-37:20:58,710","-5,4390466666","-37,3496416666",SIRGAS2000,Definitiva,Vertical,,661,,MR,68,,,,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SC84,SONDA CONVENCIONAL 84,,5/3/2026
